Locality,Anurida ellipsoides,Anurida granaria,Anurida tullbergi,Brachystomella parvula,Ceratophysella denticulata,Ceratophysella scotica,Chaetophorura simplex,Desoria fennica,Desoria trispinata,Desoria violacea,Deutonura albella,Deutonura conjuncta,Folsomia inoculata,Folsomia manolachei,Folsomia penicula,Folsomia quadrioculata,Friesea truncata,Heterosminthurus bilineatus,Isotoma viridis,Isotomiella minor,Isotomurus palustris,Isotomurus plumosus,Lepidocyrtus cyaneus,Lepidocyrtus lanuginosus,Lepidocyrtus lignorum,Megalothorax minimus,Mesaphorura florae,Mesaphorura macrochaeta,Mesaphorura tenuisensillata,Mesaphorura yosiii,Micranurida balta,Micranurida pygmaea,Neanura muscorum,Neelides minutus,Oligaphorura absoloni,Oligaphorura groenlandica,Pachyotoma crassicauda,Parisotoma notabilis,Pogonognathellus flavescens,Proisotoma minima,Protaphorura armata,Protaphorura aurantiaca,Pseudachorutes laricis,Pseudisotoma sensibilis,Pseudosinella albida,Pygmarrhopalites pygmaeus,Sminthurides malmgreni,Sminthurides schoetti,Sminthurinus aureus,Sminthurinus signatus,Sphaeridia furcata,Sphaeridia pumilis,Tetracanthella fjellbergi,Tetrodontophora bielanensis,Tomocerina minuta,Willemia anophthalma
PKV_B,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,2,,,,1,,,,
BBN_A,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,
BBN_B,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,15,,,,1,,,,2,1,,1,,,,,,,,,,,,,,,
KCD_A,,,,,,,,,,,,,,,,,8,,2,,,,1,1,,1,6,,,,,,,,1,,,11,1,,1,,,,,,,1,,,,,,,,
KCD_B,,,,,,1,,,,,,1,,,1,42,9,,,38,,,,,4,2,,43,1,,,,,,31,,,22,,,36,,,,,,1,,,,,1,,1,,
BZN_A,,,,,,,,,,,,,,,,,5,22,1,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,54,,,,,,,,,
BZN_B,,,,8,,,,,,,,,,,,,10,11,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,11,11,,,,10,2,,,
ZHJ_A,,,,,5,,,,,,,,,,,,3,,3,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,7,,,,7,,,,,
ZHJ_B,,,,,,,,,,,,,38,,,,9,,1,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,2,4,,,2,11,,,,
BRK_A,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,1,,,,
BRK_B,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,3,,,,
KLS_A,,,,,,,,,,,,,,,,,6,4,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,26,,,,,1,,,,
KLS_B,,,,1,,,,,,,,,,,,,17,,4,10,1,2,,,1,1,,,,,,,,,,,1,2,,,,,1,,,,1,2,,,2,8,,,,
VLS_A,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
VLS_B,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,
PRZ_A,,,,,,,,,,,,,,,,,23,6,,21,,,1,,,,,,,,,1,1,2,,,,1,,,1,,14,,,1,,,1,,,4,,,,
PRZ_B,,,,,,,,,,,,,,,,15,5,2,,17,,,,,,,,2,,,,,,2,4,,,15,,,5,,2,,,,,1,4,,,4,,,,
HRC_A,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,1,,1,
HRC_B,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,14,11,,,,3,,,,
OKL_A,,,,,,,,,,,,,,,,,5,2,1,3,,,,,,,,,,,,,1,,,,,6,,,,,,,,,6,,4,1,15,,,,,
OKL_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,8,1,,,5,11,,,,
NSV_A,,,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,
NSV_B,,,,,,,,1,,,,,,,,,,,,1,,,,,,5,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,
CHV_A,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CHV_B,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,3,1,,,,2,,,,
KKL_A,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKL_B,,,,,,,,,,,,,,,,,,1,,,,38,,,,,,,,,,,1,,,,,,1,,,,,,,,3,,1,,,1,,,,
HRD_A,,,,,,,,,,,,,,,,,3,1,,11,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,1,,,,,,,,
HRD_B,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,3,,,1,,16,,,
STR_A,,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,
STR_B,,,,4,,,,,,,,,,,,,11,1,2,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,51,4,,,,,,,,
SVD_A,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
SVD_B,,,,,,,1,,,,,,,12,,,3,1,,,,,,,,,,,,,,,,,,,,4,,11,1,,2,,,,,,,,,,,,,
ZMB_A,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,1,,,,,,,,,,,
ZMB_B,,,,,1,,,,,,,,,,3,,,,,8,,,1,,,3,,,,,,,,2,,,,8,,,,,,1,,,4,3,,,,1,3,,1,
ZMK_A,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,2,
ZMK_B,,,,,,2,,,,1,,,,,,,2,,,,,1,,,,1,,,,,,,1,,,,,,2,,6,,,,,,,,,,,,,,,
DVR_A,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVR_B,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,23,,,,,,,,,,,,,,
VRJ_A,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
VRJ_B,,,,,,,,,,,,,4,,,2,13,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,1,,1,2
HVZ_A,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,1,,,,,,,
HVZ_B,9,,,,,,,,,,,,140,5,,6,3,,,,,,,,1,,,,,1,,,,,,,,,,,7,,2,,,,,,,,,,,,,
HLN_A,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,
HLN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
SFR_A,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,30,,,,,
SFR_B,,,,,,,,,,,,,,,,,1,,1,,10,1,,,2,1,,,,,,,,2,,,,3,,,,,1,,,,1,22,,,8,44,,,,
RTR_A,,1,,,,,,,,,,,,,,8,12,,,,,,,,,1,,,,,,,1,,,,,3,,,,,,,,,,,2,,,1,,,,
RTR_B,,,,,,,,,,,,,,,,1,,,,1,,,,,,8,,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,,
