Species,Specialization,Specialization_Words,Taxonomy
Notosolenus obliquus,0,Non_wetland,Euglenida
Notosolenus ostium,?,Unknown,Euglenida
Notosolenus similis,0,Non_wetland,Euglenida
Notosolenus sinuatus,?,Unknown,Euglenida
Notosolenus sp. (30 um),0,Non_wetland,Euglenida
Notosolenus steinii,0,Non_wetland,Euglenida
Notosolenus steinii var. cordiformis,?,Unknown,Euglenida
Oedogonium sp. (13-17 um),0,Non_wetland,Chlorophyta
Oedogonium sp. (6-9 um),0,Non_wetland,Chlorophyta
Oocystis lacustris,1,Wetland_tolerant,Chlorophyta
Oocystis marssonii,1,Wetland_tolerant,Chlorophyta
Ophiocytium cf. cochleare,0,Non_wetland,Xanthophyceae
Ophiocytium cf. majus,2,Wetland_specialist,Xanthophyceae
Oscillatoria limosa,0,Non_wetland,Cyanobacteria
Oscillatoria princeps,2,Wetland_specialist,Cyanobacteria
Oscillatoria proboscidea,0,Non_wetland,Cyanobacteria
Oscillatoria sp.,0,Non_wetland,Cyanobacteria
Oscillatoria tenuis,0,Non_wetland,Cyanobacteria
Palmodictyon varium,2,Wetland_specialist,Chlorophyta
Parapediastrum biradiatum,0,Non_wetland,Chlorophyta
Pectinodesmus pectinatus,1,Wetland_tolerant,Chlorophyta
Pediastrum duplex,0,Non_wetland,Chlorophyta
Penium polymorphum,3,Fen_specialist,Zygnematophyceae
Penium sp.,3,Fen_specialist,Zygnematophyceae
Petalomonas hyalina,?,Unknown,Euglenida
Petalomonas minuta,0,Non_wetland,Euglenida
Petalomonas phacoides,?,Unknown,Euglenida
Petalomonas pringsheimii,?,Unknown,Euglenida
Petalomonas prototheca,0,Non_wetland,Euglenida
Petalomonas quadrilienata,?,Unknown,Euglenida
Petalomonas simplex,0,Non_wetland,Euglenida
Petalomonas sinuata,?,Unknown,Euglenida
Petalomonas sp.,0,Non_wetland,Euglenida
Petalomonas unguiformis,?,Unknown,Euglenida
Petalonema sp.,1,Wetland_tolerant,Cyanobacteria
Phacus elegans,2,Wetland_specialist,Euglenida
Phacus ocellatus,?,Unknown,Euglenida
Phacus oscillans,0,Non_wetland,Euglenida
Phacus suecicus,0,Non_wetland,Euglenida
Phacus tortus,0,Non_wetland,Euglenida
Phormidium sp. (10 um),0,Non_wetland,Cyanobacteria
Phormidium sp. (7 um),0,Non_wetland,Cyanobacteria
"Pinnularia (cca 140-210 um, cf. viridis)",0,Non_wetland,Bacillariophyceae
"Pinnularia (cca 250-320 um, cf. nobilis)",0,Non_wetland,Bacillariophyceae
"Pinnularia (cca 45, vlnitá, grunowii-like)",0,Non_wetland,Bacillariophyceae
"Pinnularia (cca 55x10, vlnitý okraj, grunowii-like)",0,Non_wetland,Bacillariophyceae
Pinnularia (cca 80-100 um),0,Non_wetland,Bacillariophyceae
Pinnularia cf. borealis,0,Non_wetland,Bacillariophyceae
Pinnularia divergens-like ,0,Non_wetland,Bacillariophyceae
Pinnularia subgibba-like,0,Non_wetland,Bacillariophyceae
Pinnularia? (cca 40-60 um),0,Non_wetland,Bacillariophyceae
Placoneis sp.,0,Non_wetland,Bacillariophyceae
Planktosphaeria gelatinosa,1,Wetland_tolerant,Chlorophyta
Pleurotaenium trabecula,0,Non_wetland,Zygnematophyceae
Ploeotia pusilla,0,Non_wetland,Euglenida
Ploeotia sp.,0,Non_wetland,Euglenida
Polytoma sp.,0,Non_wetland,Chlorophyta
Pseudanabaena catenata,0,Non_wetland,Cyanobacteria
Pseudanabaena galeata,0,Non_wetland,Cyanobacteria
Pseudanabaena sp.,0,Non_wetland,Cyanobacteria
Pseudopediastrum boryanum,0,Non_wetland,Chlorophyta
Pseudoperanema cf. curvicauda (75 um),0,Non_wetland,Euglenida
Pseudoperanema curvicauda,0,Non_wetland,Euglenida
Pseudoperanema sp.,0,Non_wetland,Euglenida
Pseudoperanema trichophorum,0,Non_wetland,Euglenida
Pseudostaurastrum enorme,0,Non_wetland,Xanthophyceae
Pseudostaurosira subconstricta,0,Non_wetland,Bacillariophyceae
Pyramimonas sp.,0,Non_wetland,Chlorophyta
Quadrigula closterioides,2,Wetland_specialist,Chlorophyta
Rhabdomonas costata,0,Non_wetland,Euglenida
Rhabdomonas incurva,0,Non_wetland,Euglenida
Rhabdomonas intermedia,?,Unknown,Euglenida
Rhexinema planctonicum,?,Unknown,Chlorophyta
Rozsivka malá kapitátní (22 um),?,Unknown,Bacillariophyceae
Scenedesmus caribeanus,?,Unknown,Chlorophyta
Scenedesmus ellipticus,0,Non_wetland,Chlorophyta
Scenedesmus obtusus,0,Non_wetland,Chlorophyta
Scenedesmus obtusus var. apiculatus,0,Non_wetland,Chlorophyta
Scenedesmus obtusus f. disciformis,0,Non_wetland,Chlorophyta
Sellaphora-like,0,Non_wetland,Bacillariophyceae
Snowella litoralis,0,Non_wetland,Cyanobacteria
Sphaerellopsis sp.,0,Non_wetland,Chlorophyta
Sphenomonas angusta,0,Non_wetland,Euglenida
Sphenomonas quadrangularis,?,Unknown,Euglenida
Sphenomonas teres,0,Non_wetland,Euglenida
Spirogyra sp.,0,Non_wetland,Zygnematophyceae
Spirotaenia condensata,2,Wetland_specialist,Zygnematophyceae
Staurastrum avicula,2,Wetland_specialist,Zygnematophyceae
Staurastrum brebissonii,0,Non_wetland,Zygnematophyceae
Staurastrum dispar,0,Non_wetland,Zygnematophyceae
Staurastrum lapponicum,2,Wetland_specialist,Zygnematophyceae
Staurastrum manfeldtii,0,Non_wetland,Zygnematophyceae
Staurastrum margaritaceum,3,Fen_specialist,Zygnematophyceae
Staurastrum micron,3,Fen_specialist,Zygnematophyceae
Staurastrum pingue,1,Wetland_tolerant,Zygnematophyceae
Staurastrum pingue var. planctonicum,1,Wetland_tolerant,Zygnematophyceae
Staurastrum scabrum,3,Fen_specialist,Zygnematophyceae
Staurastrum sexcostatum,0,Non_wetland,Zygnematophyceae
Staurastrum striatum,0,Non_wetland,Zygnematophyceae
Staurastrum subnivale,0,Non_wetland,Zygnematophyceae
Stauridium tetras,0,Non_wetland,Chlorophyta
Staurodesmus dejectus,0,Non_wetland,Zygnematophyceae
Stauroneis (cca 100-160 um),0,Non_wetland,Bacillariophyceae
"Staurosira cf. construens (vlákno, cca 20 um)",0,Non_wetland,Bacillariophyceae
"Staurosira? vláknitá, cca 10 um",0,Non_wetland,Bacillariophyceae
Stenopterobia cf. intermedia,3,Fen_specialist,Bacillariophyceae
Stenopterobia sp.,3,Fen_specialist,Bacillariophyceae
Stichosiphon sp.,?,Unknown,Cyanobacteria
Stigeoclonium sp.,0,Non_wetland,Chlorophyta
Surirella librile,0,Non_wetland,Bacillariophyceae
Surirella sp.,0,Non_wetland,Bacillariophyceae
Synura cf. sphagnicola,3,Fen_specialist,Chrysophyceae
Synura sp.,0,Non_wetland,Chrysophyceae
Tabellaria flocculosa,0,Non_wetland,Bacillariophyceae
Teilingia granulata,0,Non_wetland,Zygnematophyceae
Tetmemorus brebissonii,3,Fen_specialist,Zygnematophyceae
Tetmemorus granulatus,2,Wetland_specialist,Zygnematophyceae
Tetmemorus laevis,3,Fen_specialist,Zygnematophyceae
Tetradesmus dimorphus,0,Non_wetland,Chlorophyta
Tetradesmus obliquus,0,Non_wetland,Chlorophyta
Tetraedron minimum,0,Non_wetland,Chlorophyta
Tolypothrix cf. lanata,2,Wetland_specialist,Cyanobacteria
Tortitaenia obscura,3,Fen_specialist,Zygnematophyceae
Trachelomonas abrupta,0,Non_wetland,Euglenida
Trachelomonas cervicula,0,Non_wetland,Euglenida
Trachelomonas cf. intermedia,0,Non_wetland,Euglenida
Trachelomonas conica,0,Non_wetland,Euglenida
Trachelomonas crenulatocollis,0,Non_wetland,Euglenida
Trachelomonas hispida,0,Non_wetland,Euglenida
Trachelomonas oblonga,0,Non_wetland,Euglenida
Trachelomonas volvocina,0,Non_wetland,Euglenida
Trachelomonas volvocinopsis,0,Non_wetland,Euglenida
Tribonema aequale,0,Non_wetland,Xanthophyceae
Tribonema affine,3,Fen_specialist,Xanthophyceae
Tribonema delicatissimum,0,Non_wetland,Xanthophyceae
Tribonema regulare,2,Wetland_specialist,Xanthophyceae
Tribonema sp.,0,Non_wetland,Xanthophyceae
Urceolus roskinii,0,Non_wetland,Euglenida
Urceolus vas,?,Unknown,Euglenida
Uronema elongatum,0,Non_wetland,Chlorophyta
Vacuolaria sp.,2,Wetland_specialist,Raphidophyceae
Verrucodesmus verrucosus,1,Wetland_tolerant,Chlorophyta
Vitreochlamys aulata,0,Non_wetland,Chlorophyta
Vláknitá p?isedlá Chlorophyceae,0,Non_wetland,Chlorophyta
Willea apiculata,1,Wetland_tolerant,Chlorophyta
Woronichinia naegeliana,1,Wetland_tolerant,Cyanobacteria
Zygnema sp.,0,Non_wetland,Zygnematophyceae
Zygogonium sp.,3,Fen_specialist,Zygnematophyceae
